agenc,site_no,datetime,flow
USGS,8069000,7/1/1944,4
USGS,8069000,7/2/1944,4
USGS,8069000,7/3/1944,4.7
USGS,8069000,7/4/1944,18
USGS,8069000,7/5/1944,14
USGS,8069000,7/6/1944,5.6
USGS,8069000,7/7/1944,4.1
USGS,8069000,7/8/1944,3.7
USGS,8069000,7/9/1944,3.7
USGS,8069000,7/10/1944,3.5
USGS,8069000,7/11/1944,3.7
USGS,8069000,7/12/1944,3.4
USGS,8069000,7/13/1944,3.1
USGS,8069000,7/14/1944,2.9
USGS,8069000,7/15/1944,2.8
USGS,8069000,7/16/1944,2.7
USGS,8069000,7/17/1944,2.6
USGS,8069000,7/18/1944,2.5
USGS,8069000,7/19/1944,2.5
USGS,8069000,7/20/1944,2.5
USGS,8069000,7/21/1944,2.4
USGS,8069000,7/22/1944,2.4
USGS,8069000,7/23/1944,2.4
USGS,8069000,7/24/1944,2.4
USGS,8069000,7/25/1944,2.4
USGS,8069000,7/26/1944,12
USGS,8069000,7/27/1944,15
USGS,8069000,7/28/1944,7.2
USGS,8069000,7/29/1944,5.4
USGS,8069000,7/30/1944,4.4
USGS,8069000,7/31/1944,3.6
USGS,8069000,8/1/1944,3.2
USGS,8069000,8/2/1944,2.9
USGS,8069000,8/3/1944,2.6
USGS,8069000,8/4/1944,2.5
USGS,8069000,8/5/1944,2.5
USGS,8069000,8/6/1944,3.2
USGS,8069000,8/7/1944,3.6
USGS,8069000,8/8/1944,6.8
USGS,8069000,8/9/1944,4.4
USGS,8069000,8/10/1944,3.3
USGS,8069000,8/11/1944,4.2
USGS,8069000,8/12/1944,18
USGS,8069000,8/13/1944,63
USGS,8069000,8/14/1944,199
USGS,8069000,8/15/1944,100
USGS,8069000,8/16/1944,34
USGS,8069000,8/17/1944,17
USGS,8069000,8/18/1944,13
USGS,8069000,8/19/1944,13
USGS,8069000,8/20/1944,10
USGS,8069000,8/21/1944,8.9
USGS,8069000,8/22/1944,7.9
USGS,8069000,8/23/1944,9.4
USGS,8069000,8/24/1944,9.1
USGS,8069000,8/25/1944,9.4
USGS,8069000,8/26/1944,9.2
USGS,8069000,8/27/1944,7.4
USGS,8069000,8/28/1944,6.5
USGS,8069000,8/29/1944,9.4
USGS,8069000,8/30/1944,12
USGS,8069000,8/31/1944,128
USGS,8069000,9/1/1944,239
USGS,8069000,9/2/1944,367
USGS,8069000,9/3/1944,307
USGS,8069000,9/4/1944,154
USGS,8069000,9/5/1944,59
USGS,8069000,9/6/1944,75
USGS,8069000,9/7/1944,64
USGS,8069000,9/8/1944,29
USGS,8069000,9/9/1944,21
USGS,8069000,9/10/1944,24
USGS,8069000,9/11/1944,23
USGS,8069000,9/12/1944,21
USGS,8069000,9/13/1944,17
USGS,8069000,9/14/1944,13
USGS,8069000,9/15/1944,11
USGS,8069000,9/16/1944,10
USGS,8069000,9/17/1944,10
USGS,8069000,9/18/1944,9.6
USGS,8069000,9/19/1944,9.2
USGS,8069000,9/20/1944,8.7
USGS,8069000,9/21/1944,8.2
USGS,8069000,9/22/1944,8
USGS,8069000,9/23/1944,7.6
USGS,8069000,9/24/1944,7.2
USGS,8069000,9/25/1944,6.6
USGS,8069000,9/26/1944,7
USGS,8069000,9/27/1944,76
USGS,8069000,9/28/1944,163
USGS,8069000,9/29/1944,136
USGS,8069000,9/30/1944,76
USGS,8069000,10/1/1944,52
USGS,8069000,10/2/1944,39
USGS,8069000,10/3/1944,27
USGS,8069000,10/4/1944,17
USGS,8069000,10/5/1944,14
USGS,8069000,10/6/1944,15
USGS,8069000,10/7/1944,16
USGS,8069000,10/8/1944,14
USGS,8069000,10/9/1944,24
USGS,8069000,10/10/1944,14
USGS,8069000,10/11/1944,8.9
USGS,8069000,10/12/1944,8.7
USGS,8069000,10/13/1944,10
USGS,8069000,10/14/1944,10
USGS,8069000,10/15/1944,9.6
USGS,8069000,10/16/1944,8.2
USGS,8069000,10/17/1944,7.2
USGS,8069000,10/18/1944,6.6
USGS,8069000,10/19/1944,6.1
USGS,8069000,10/20/1944,5.7
USGS,8069000,10/21/1944,5.3
USGS,8069000,10/22/1944,5
USGS,8069000,10/23/1944,4.9
USGS,8069000,10/24/1944,5.3
USGS,8069000,10/25/1944,5.7
USGS,8069000,10/26/1944,5.3
USGS,8069000,10/27/1944,5.3
USGS,8069000,10/28/1944,5.3
USGS,8069000,10/29/1944,5.3
USGS,8069000,10/30/1944,5.2
USGS,8069000,10/31/1944,4.9
USGS,8069000,11/1/1944,4.7
USGS,8069000,11/2/1944,4.5
USGS,8069000,11/3/1944,4.9
USGS,8069000,11/4/1944,6.8
USGS,8069000,11/5/1944,50
USGS,8069000,11/6/1944,60
USGS,8069000,11/7/1944,39
USGS,8069000,11/8/1944,36
USGS,8069000,11/9/1944,45
USGS,8069000,11/10/1944,42
USGS,8069000,11/11/1944,31
USGS,8069000,11/12/1944,20
USGS,8069000,11/13/1944,15
USGS,8069000,11/14/1944,13
USGS,8069000,11/15/1944,11
USGS,8069000,11/16/1944,10
USGS,8069000,11/17/1944,10
USGS,8069000,11/18/1944,10
USGS,8069000,11/19/1944,34
USGS,8069000,11/20/1944,55
USGS,8069000,11/21/1944,107
USGS,8069000,11/22/1944,93
USGS,8069000,11/23/1944,60
USGS,8069000,11/24/1944,90
USGS,8069000,11/25/1944,824
USGS,8069000,11/26/1944,1330
USGS,8069000,11/27/1944,1470
USGS,8069000,11/28/1944,1150
USGS,8069000,11/29/1944,782
USGS,8069000,11/30/1944,546
USGS,8069000,12/1/1944,387
USGS,8069000,12/2/1944,238
USGS,8069000,12/3/1944,130
USGS,8069000,12/4/1944,85
USGS,8069000,12/5/1944,981
USGS,8069000,12/6/1944,2790
USGS,8069000,12/7/1944,3760
USGS,8069000,12/8/1944,2670
USGS,8069000,12/9/1944,1720
USGS,8069000,12/10/1944,1290
USGS,8069000,12/11/1944,1040
USGS,8069000,12/12/1944,828
USGS,8069000,12/13/1944,630
USGS,8069000,12/14/1944,450
USGS,8069000,12/15/1944,226
USGS,8069000,12/16/1944,107
USGS,8069000,12/17/1944,71
USGS,8069000,12/18/1944,55
USGS,8069000,12/19/1944,44
USGS,8069000,12/20/1944,36
USGS,8069000,12/21/1944,32
USGS,8069000,12/22/1944,26
USGS,8069000,12/23/1944,22
USGS,8069000,12/24/1944,22
USGS,8069000,12/25/1944,21
USGS,8069000,12/26/1944,20
USGS,8069000,12/27/1944,27
USGS,8069000,12/28/1944,28
USGS,8069000,12/29/1944,31
USGS,8069000,12/30/1944,30
USGS,8069000,12/31/1944,152
USGS,8069000,1/1/1945,320
USGS,8069000,1/2/1945,399
USGS,8069000,1/3/1945,463
USGS,8069000,1/4/1945,450
USGS,8069000,1/5/1945,424
USGS,8069000,1/6/1945,490
USGS,8069000,1/7/1945,532
USGS,8069000,1/8/1945,450
USGS,8069000,1/9/1945,399
USGS,8069000,1/10/1945,310
USGS,8069000,1/11/1945,219
USGS,8069000,1/12/1945,138
USGS,8069000,1/13/1945,96
USGS,8069000,1/14/1945,74
USGS,8069000,1/15/1945,58
USGS,8069000,1/16/1945,46
USGS,8069000,1/17/1945,38
USGS,8069000,1/18/1945,1530
USGS,8069000,1/19/1945,3000
USGS,8069000,1/20/1945,4200
USGS,8069000,1/21/1945,3120
USGS,8069000,1/22/1945,2120
USGS,8069000,1/23/1945,1540
USGS,8069000,1/24/1945,1170
USGS,8069000,1/25/1945,860
USGS,8069000,1/26/1945,644
USGS,8069000,1/27/1945,490
USGS,8069000,1/28/1945,318
USGS,8069000,1/29/1945,155
USGS,8069000,1/30/1945,101
USGS,8069000,1/31/1945,82
USGS,8069000,2/1/1945,63
USGS,8069000,2/2/1945,50
USGS,8069000,2/3/1945,44
USGS,8069000,2/4/1945,46
USGS,8069000,2/5/1945,215
USGS,8069000,2/6/1945,171
USGS,8069000,2/7/1945,144
USGS,8069000,2/8/1945,116
USGS,8069000,2/9/1945,88
USGS,8069000,2/10/1945,64
USGS,8069000,2/11/1945,54
USGS,8069000,2/12/1945,257
USGS,8069000,2/13/1945,588
USGS,8069000,2/14/1945,892
USGS,8069000,2/15/1945,940
USGS,8069000,2/16/1945,704
USGS,8069000,2/17/1945,560
USGS,8069000,2/18/1945,504
USGS,8069000,2/19/1945,387
USGS,8069000,2/20/1945,202
USGS,8069000,2/21/1945,128
USGS,8069000,2/22/1945,122
USGS,8069000,2/23/1945,144
USGS,8069000,2/24/1945,128
USGS,8069000,2/25/1945,93
USGS,8069000,2/26/1945,67
USGS,8069000,2/27/1945,52
USGS,8069000,2/28/1945,42
USGS,8069000,3/1/1945,36
USGS,8069000,3/2/1945,32
USGS,8069000,3/3/1945,28
USGS,8069000,3/4/1945,26
USGS,8069000,3/5/1945,24
USGS,8069000,3/6/1945,23
USGS,8069000,3/7/1945,20
USGS,8069000,3/8/1945,18
USGS,8069000,3/9/1945,16
USGS,8069000,3/10/1945,14
USGS,8069000,3/11/1945,13
USGS,8069000,3/12/1945,13
USGS,8069000,3/13/1945,12
USGS,8069000,3/14/1945,13
USGS,8069000,3/15/1945,41
USGS,8069000,3/16/1945,29
USGS,8069000,3/17/1945,21
USGS,8069000,3/18/1945,24
USGS,8069000,3/19/1945,62
USGS,8069000,3/20/1945,88
USGS,8069000,3/21/1945,69
USGS,8069000,3/22/1945,70
USGS,8069000,3/23/1945,68
USGS,8069000,3/24/1945,44
USGS,8069000,3/25/1945,29
USGS,8069000,3/26/1945,20
USGS,8069000,3/27/1945,16
USGS,8069000,3/28/1945,14
USGS,8069000,3/29/1945,13
USGS,8069000,3/30/1945,22
USGS,8069000,3/31/1945,115
USGS,8069000,4/1/1945,2630
USGS,8069000,4/2/1945,2770
USGS,8069000,4/3/1945,4520
USGS,8069000,4/4/1945,4040
USGS,8069000,4/5/1945,2600
USGS,8069000,4/6/1945,1750
USGS,8069000,4/7/1945,1290
USGS,8069000,4/8/1945,990
USGS,8069000,4/9/1945,764
USGS,8069000,4/10/1945,588
USGS,8069000,4/11/1945,424
USGS,8069000,4/12/1945,228
USGS,8069000,4/13/1945,98
USGS,8069000,4/14/1945,60
USGS,8069000,4/15/1945,44
USGS,8069000,4/16/1945,34
USGS,8069000,4/17/1945,27
USGS,8069000,4/18/1945,22
USGS,8069000,4/19/1945,18
USGS,8069000,4/20/1945,370
USGS,8069000,4/21/1945,1750
USGS,8069000,4/22/1945,1850
USGS,8069000,4/23/1945,1500
USGS,8069000,4/24/1945,1210
USGS,8069000,4/25/1945,945
USGS,8069000,4/26/1945,644
USGS,8069000,4/27/1945,437
USGS,8069000,4/28/1945,270
USGS,8069000,4/29/1945,124
