Agency,StnID,Date,Discharge,Stage,HYDYear,
USGS,8189500,6/30/1940,3770,21.7,1940,
USGS,8189500,5/4/1941,10500,28.4,1941,
USGS,8189500,7/7/1942,41700,33.3,1942,
USGS,8189500,6/5/1943,4910,22.4,1943,
USGS,8189500,3/19/1944,4950,22.5,1944,
USGS,8189500,4/21/1945,4470,21.26,1945,
USGS,8189500,6/11/1946,2150,15,1946,
USGS,8189500,10/17/1946,15400,29.55,1947,
USGS,8189500,7/1/1948,342,6.4,1948,
USGS,8189500,4/26/1949,4670,21.8,1949,
USGS,8189500,10/29/1949,49,2.38,1950,
USGS,8189500,9/15/1951,5380,22.35,1951,
USGS,8189500,9/12/1952,22300,30.85,1952,
USGS,8189500,8/31/1953,2980,16.96,1953,
USGS,8189500,10/24/1953,2170,15.37,1954,
USGS,8189500,10/24/1954,429,6.8,1955,
USGS,8189500,3/22/1956,951,10.1,1956,
USGS,8189500,4/29/1957,4180,21.8,1957,
USGS,8189500,2/23/1958,22000,30.14,1958,
USGS,8189500,10/30/1958,2200,16.1,1959,
USGS,8189500,6/27/1960,6440,24.55,1960,
USGS,8189500,10/17/1960,7440,26.6,1961,
USGS,8189500,6/3/1962,5160,20.8,1962,
USGS,8189500,11/28/1962,896,9.25,1963,
USGS,8189500,7/19/1964,1340,11.5,1964,
USGS,8189500,2/17/1965,3620,20.23,1965,
USGS,8189500,5/7/1966,8400,27.61,1966,
USGS,8189500,9/21/1967,60200,36.5,1967,
USGS,8189500,5/12/1968,11700,29.07,1968,
USGS,8189500,2/15/1969,4310,21.81,1969,
USGS,8189500,6/2/1970,2980,18.25,1970,
USGS,8189500,9/12/1971,79000,38.25,1971,
USGS,8189500,5/13/1972,10600,28.25,1972,
USGS,8189500,6/27/1973,12100,28.67,1973,
USGS,8189500,10/12/1973,35800,33.69,1974,
USGS,8189500,11/25/1974,1350,12.53,1975,
USGS,8189500,7/12/1976,10100,27.92,1976,
USGS,8189500,12/20/1976,4560,22.28,1977,
USGS,8189500,6/4/1978,4320,21.8,1978,
USGS,8189500,9/21/1979,6320,25.62,1979,
USGS,8189500,8/12/1980,10200,28.11,1980,
USGS,8189500,6/18/1981,7290,26.53,1981,
USGS,8189500,11/1/1981,24500,31.9,1982,
USGS,8189500,7/17/1983,10100,27.9,1983,
USGS,8189500,10/22/1983,6130,25.22,1984,
USGS,8189500,4/12/1985,5280,24.16,1985,
USGS,8189500,10/1/1985,2320,17.47,1986,
USGS,8189500,6/6/1987,4920,22.96,1987,
USGS,8189500,9/17/1988,625,8.97,1988,
USGS,8189500,4/19/1989,105,3.99,1989,
USGS,8189500,7/17/1990,44600,34.84,1990,
USGS,8189500,4/7/1991,2610,17.1,1991,
USGS,8189500,12/23/1991,13100,29.1,1992,
USGS,8189500,6/23/1993,6920,25.86,1993,
USGS,8189500,3/17/1994,4630,22.42,1994,
USGS,8189500,10/20/1994,7830,26.51,1995,
USGS,8189500,6/27/1996,3650,20.12,1996,
USGS,8189500,4/5/1997,8870,28.18,1997,
USGS,8189500,10/14/1997,10800,29.27,1998,
USGS,8189500,10/19/1998,16000,31,1999,
USGS,8189500,3/15/2000,451,10.67,2000,
USGS,8189500,9/1/2001,46900,34.08,2001,
USGS,8189500,11/17/2001,16300,30.07,2002,
USGS,8189500,10/26/2002,6650,25.56,2003,
USGS,8189500,5/15/2004,11400,28.51,2004,
USGS,8189500,3/8/2005,8940,28.21,2005,
USGS,8189500,9/19/2006,25000,32,2006,
USGS,8189500,7/6/2007,13600,29.26,2007,
USGS,8189500,8/21/2008,201,4.25,2008,
USGS,8189500,4/27/2009,80,3.19,2009,
USGS,8189500,9/21/2010,6290,25.07,2010,
USGS,8189500,1/17/2011,2400,15.96,2011,
USGS,8189500,4/16/2012,1230,10.61,2012,
USGS,8189500,5/27/2013,4160,21.45,2013,
USGS,8189500,6/27/2014,293,5,2014,
