agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,8069000,60,134260,1944,7,4.95
USGS,8069000,60,134260,1944,8,23.3
USGS,8069000,60,134260,1944,9,65.6
USGS,8069000,60,134260,1944,10,12
USGS,8069000,60,134260,1944,11,231.8
USGS,8069000,60,134260,1944,12,579
USGS,8069000,60,134260,1945,1,781.8
USGS,8069000,60,134260,1945,2,245.2
USGS,8069000,60,134260,1945,3,33.3
USGS,8069000,60,134260,1945,4,1069
USGS,8069000,60,134260,1945,5,93.5
USGS,8069000,60,134260,1945,6,20.8
USGS,8069000,60,134260,1945,7,5.37
USGS,8069000,60,134260,1945,8,562.5
USGS,8069000,60,134260,1945,9,531.5
USGS,8069000,60,134260,1945,10,108.3
USGS,8069000,60,134260,1945,11,18.5
USGS,8069000,60,134260,1945,12,525.2
USGS,8069000,60,134260,1946,1,753.8
USGS,8069000,60,134260,1946,2,745.4
USGS,8069000,60,134260,1946,3,160.1
USGS,8069000,60,134260,1946,4,30.7
USGS,8069000,60,134260,1946,5,932.2
USGS,8069000,60,134260,1946,6,531.5
USGS,8069000,60,134260,1946,7,274.7
USGS,8069000,60,134260,1946,8,8.95
USGS,8069000,60,134260,1946,9,32.7
USGS,8069000,60,134260,1946,10,167.7
USGS,8069000,60,134260,1946,11,1788
USGS,8069000,60,134260,1946,12,129.2
USGS,8069000,60,134260,1947,1,870.4
USGS,8069000,60,134260,1947,2,23.1
USGS,8069000,60,134260,1947,3,122
USGS,8069000,60,134260,1947,4,8.48
USGS,8069000,60,134260,1947,5,460.6
USGS,8069000,60,134260,1947,6,48.7
USGS,8069000,60,134260,1947,7,13.4
USGS,8069000,60,134260,1947,8,30.7
USGS,8069000,60,134260,1947,9,13.2
USGS,8069000,60,134260,1947,10,2.99
USGS,8069000,60,134260,1947,11,6.27
USGS,8069000,60,134260,1947,12,123.6
USGS,8069000,60,134260,1948,1,24.4
USGS,8069000,60,134260,1948,2,45.8
USGS,8069000,60,134260,1948,3,44.2
USGS,8069000,60,134260,1948,4,42.5
USGS,8069000,60,134260,1948,5,20.9
USGS,8069000,60,134260,1948,6,2.34
USGS,8069000,60,134260,1948,7,2.94
USGS,8069000,60,134260,1948,8,0.087
USGS,8069000,60,134260,1948,9,2.52
USGS,8069000,60,134260,1948,10,1.18
USGS,8069000,60,134260,1948,11,3.77
USGS,8069000,60,134260,1948,12,0.71
USGS,8069000,60,134260,1949,1,33.5
USGS,8069000,60,134260,1949,2,226.8
USGS,8069000,60,134260,1949,3,240.8
USGS,8069000,60,134260,1949,4,463
USGS,8069000,60,134260,1949,5,89
USGS,8069000,60,134260,1949,6,3.11
USGS,8069000,60,134260,1949,7,30.1
USGS,8069000,60,134260,1949,8,57.5
USGS,8069000,60,134260,1949,9,22.6
USGS,8069000,60,134260,1949,10,1198
USGS,8069000,60,134260,1949,11,8.07
USGS,8069000,60,134260,1949,12,364.1
USGS,8069000,60,134260,1950,1,200.3
USGS,8069000,60,134260,1950,2,532.3
USGS,8069000,60,134260,1950,3,29.1
USGS,8069000,60,134260,1950,4,112.2
USGS,8069000,60,134260,1950,5,132.8
USGS,8069000,60,134260,1950,6,926.3
USGS,8069000,60,134260,1950,7,174.3
USGS,8069000,60,134260,1950,8,3.2
USGS,8069000,60,134260,1950,9,30.1
USGS,8069000,60,134260,1950,10,7.7
USGS,8069000,60,134260,1950,11,0.717
USGS,8069000,60,134260,1950,12,0.148
USGS,8069000,60,134260,1951,1,0.603
USGS,8069000,60,134260,1951,2,1.39
USGS,8069000,60,134260,1951,3,23.9
USGS,8069000,60,134260,1951,4,17.2
USGS,8069000,60,134260,1951,5,7.34
USGS,8069000,60,134260,1951,6,14.9
USGS,8069000,60,134260,1951,7,4.15
USGS,8069000,60,134260,1951,8,1.64
USGS,8069000,60,134260,1951,9,100.4
USGS,8069000,60,134260,1951,10,7.65
USGS,8069000,60,134260,1951,11,6.52
USGS,8069000,60,134260,1951,12,20.3
USGS,8069000,60,134260,1952,1,5.25
USGS,8069000,60,134260,1952,2,100.9
USGS,8069000,60,134260,1952,3,13.7
USGS,8069000,60,134260,1952,4,618.1
USGS,8069000,60,134260,1952,5,215.8
USGS,8069000,60,134260,1952,6,38.8
USGS,8069000,60,134260,1952,7,9.02
USGS,8069000,60,134260,1952,8,3.03
USGS,8069000,60,134260,1952,9,11.1
USGS,8069000,60,134260,1952,10,2.92
USGS,8069000,60,134260,1952,11,24.5
USGS,8069000,60,134260,1952,12,104.3
USGS,8069000,60,134260,1953,1,20.7
USGS,8069000,60,134260,1953,2,91.4
USGS,8069000,60,134260,1953,3,7.61
USGS,8069000,60,134260,1953,4,186.4
USGS,8069000,60,134260,1953,5,1260
USGS,8069000,60,134260,1953,6,4.81
USGS,8069000,60,134260,1953,7,8.67
USGS,8069000,60,134260,1953,8,25.8
USGS,8069000,60,134260,1953,9,69.6
USGS,8069000,60,134260,1953,10,17.5
USGS,8069000,60,134260,1953,11,82.6
USGS,8069000,60,134260,1953,12,146.2
USGS,8069000,60,134260,1954,1,94.2
USGS,8069000,60,134260,1954,2,2.7
USGS,8069000,60,134260,1954,3,0.397
USGS,8069000,60,134260,1954,4,3.16
USGS,8069000,60,134260,1954,5,5.78
USGS,8069000,60,134260,1954,6,2.15
USGS,8069000,60,134260,1954,7,341.6
USGS,8069000,60,134260,1954,8,41.8
USGS,8069000,60,134260,1954,9,1.79
USGS,8069000,60,134260,1954,10,59.1
USGS,8069000,60,134260,1954,11,10.5
USGS,8069000,60,134260,1954,12,37.3
USGS,8069000,60,134260,1955,1,50.6
USGS,8069000,60,134260,1955,2,282.2
USGS,8069000,60,134260,1955,3,1.5
USGS,8069000,60,134260,1955,4,5.13
USGS,8069000,60,134260,1955,5,4.65
USGS,8069000,60,134260,1955,6,6.07
USGS,8069000,60,134260,1955,7,13.2
USGS,8069000,60,134260,1955,8,27.6
USGS,8069000,60,134260,1955,9,16.3
USGS,8069000,60,134260,1955,10,2.57
USGS,8069000,60,134260,1955,11,0.023
USGS,8069000,60,134260,1955,12,1.37
USGS,8069000,60,134260,1956,1,27.3
USGS,8069000,60,134260,1956,2,40.8
USGS,8069000,60,134260,1956,3,0.213
USGS,8069000,60,134260,1956,4,6.76
USGS,8069000,60,134260,1956,5,1.77
USGS,8069000,60,134260,1956,6,5.4
USGS,8069000,60,134260,1956,7,4.42
USGS,8069000,60,134260,1956,8,0.142
